city,metric,metric_label,n,pearson_r,pearson_p,spearman_rho,spearman_p,R_squared
Semarang,jam_factor_mean,Jam factor,922,-0.0749,0.022938393006745172,-0.0821,0.012648806224633049,0.00561
Semarang,speed_mean,Current speed (km/h),922,-0.1833,2.0737967231688376e-08,-0.1846,1.649345925202657e-08,0.033598
Semarang,free_flow_mean,Free-flow speed (km/h),922,-0.1896,6.577551012607863e-09,-0.2201,1.411048450009792e-11,0.035941
Semarang,speed_reduction,Speed reduction (km/h),922,-0.0212,0.5209771226951793,-0.0447,0.17500586366120185,0.000448
Bandung,jam_factor_mean,Jam factor,2583,0.128,6.640407136302105e-11,0.1981,2.8335591588539465e-24,0.016381
Bandung,speed_mean,Current speed (km/h),2583,-0.201,6.116667169050029e-25,-0.1688,5.90961166330485e-18,0.040383
Bandung,free_flow_mean,Free-flow speed (km/h),2583,-0.0675,0.000594881356989306,-0.0177,0.368844476245053,0.004559
Bandung,speed_reduction,Speed reduction (km/h),2583,0.136,3.865271172307719e-12,0.1763,1.7732896489825827e-19,0.018502
Jakarta,jam_factor_mean,Jam factor,13193,-0.0077,0.37746493163300915,0.0228,0.008830768546627898,5.9e-05
Jakarta,speed_mean,Current speed (km/h),13193,-0.0854,9.155440805915622e-23,-0.081,1.1539105150159289e-20,0.007285
Jakarta,free_flow_mean,Free-flow speed (km/h),13193,-0.0524,1.7672189093211522e-09,-0.0324,0.00020150897477839717,0.002742
Jakarta,speed_reduction,Speed reduction (km/h),13193,0.0188,0.03053753532124637,0.0399,4.5075940683137435e-06,0.000355
