city,resolution,morans_i,z_score,p_value,n_hexagons,significant
Semarang,6,0.10188008948242036,1.722216215336594,0.055,22,False
Semarang,7,0.2383423489278659,4.3360024603962515,0.001,90,True
Semarang,8,0.32984381370398536,9.51887225570824,0.001,261,True
Semarang,9,0.36740853522857153,14.707648300515054,0.001,501,True
Bandung,6,0.10878838886676168,1.7058066183567602,0.055,35,False
Bandung,7,0.16417690239952246,3.825265543711504,0.002,141,True
Bandung,8,0.19101584657963672,8.111103563264273,0.001,526,True
Bandung,9,0.26160970237887593,17.51277091541242,0.001,1250,True
Jakarta,6,0.28061477428552556,4.733823997286493,0.001,69,True
Jakarta,7,0.24738599058300856,8.59774278528246,0.001,378,True
Jakarta,8,0.21647835936076615,17.254203556285113,0.001,1894,True
Jakarta,9,0.28296199250694754,38.778329665321294,0.001,5550,True
