city,network_distance_m,distance_type,n,mean_poi_count,pearson_r,pearson_p,spearman_r,spearman_p,r_squared
Semarang,200,network (walk),1076,6.59,0.0022,0.9414,0.0037,0.9029,5e-06
Semarang,400,network (walk),1076,25.07,-0.0045,0.8831,-0.0198,0.5168,2e-05
Semarang,800,network (walk),1076,103.2,-0.0105,0.7313,-0.0165,0.5894,0.00011
Semarang,1200,network (walk),1076,227.53,-0.01,0.7436,-0.0145,0.6348,0.0001
Bandung,200,network (walk),3069,5.59,0.0034,0.8509,-0.0011,0.9526,1.2e-05
Bandung,400,network (walk),3069,18.64,-0.0032,0.858,-0.0001,0.9964,1e-05
Bandung,800,network (walk),3069,72.1,-0.0002,0.9923,-0.0011,0.9533,0.0
Bandung,1200,network (walk),3069,164.5,-0.0097,0.5897,-0.0055,0.7622,9.5e-05
Jakarta,200,network (walk),14549,4.91,-0.0015,0.8555,0.0053,0.5258,2e-06
Jakarta,400,network (walk),14549,16.29,0.0031,0.7055,0.0072,0.3834,1e-05
Jakarta,800,network (walk),14549,60.85,0.0055,0.5091,0.0043,0.6018,3e-05
Jakarta,1200,network (walk),14549,137.12,0.0058,0.4835,0.0018,0.8291,3.4e-05
