city,metric,metric_label,pearson_r,R_squared,pearson_p,spearman_rho,spearman_p,n
Semarang,jam_factor_mean,Jam factor,0.063491,0.004031,0.053954299422854415,0.091813,0.00527149009125262,922
Semarang,speed_mean,Current speed (km/h),-0.02227,0.000496,0.499435085723047,-0.021545,0.5135105461366651,922
Semarang,free_flow_mean,Free-flow speed (km/h),0.071131,0.00506,0.030798709198916596,0.060932,0.06440343970836526,922
Semarang,speed_reduction_mean,Speed reduction (km/h),0.143077,0.020471,1.2946278456723712e-05,0.121021,0.00023022727020744477,922
Bandung,jam_factor_mean,Jam factor,0.161001,0.025921,1.8350595372064418e-16,0.139821,9.482912070002444e-13,2583
Bandung,speed_mean,Current speed (km/h),-0.036469,0.00133,0.06385618000328738,-0.07069,0.0003238196296357194,2583
Bandung,free_flow_mean,Free-flow speed (km/h),0.109623,0.012017,2.330039552299121e-08,0.045535,0.02064963386846465,2583
Bandung,speed_reduction_mean,Speed reduction (km/h),0.196162,0.038479,8.078343676427994e-24,0.141645,4.764984296695835e-13,2583
Jakarta,jam_factor_mean,Jam factor,0.109976,0.012095,8.75727452820414e-37,0.121826,8.384126180871265e-45,13193
Jakarta,speed_mean,Current speed (km/h),-0.001044,1e-06,0.9045422273573827,0.008013,0.35738809204811484,13193
Jakarta,free_flow_mean,Free-flow speed (km/h),0.091145,0.008307,9.618741586482217e-26,0.098691,6.431390564719759e-30,13193
Jakarta,speed_reduction_mean,Speed reduction (km/h),0.13148,0.017287,5.9095404899736306e-52,0.132696,6.775413193375433e-53,13193
