,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
0,NS,NS,LL,LL,LL,LL,LL,LL
1,HH,LH,LH,LH,LH,HH,HH,HH
2,NS,NS,NS,HH,NS,NS,NS,NS
3,LL,NS,NS,NS,NS,NS,LL,LL
4,NS,NS,NS,NS,NS,NS,NS,NS
5,NS,NS,NS,NS,NS,NS,NS,NS
6,NS,NS,NS,NS,NS,NS,NS,NS
7,NS,NS,NS,NS,NS,NS,NS,NS
8,NS,NS,NS,NS,NS,NS,NS,NS
9,NS,NS,NS,NS,NS,NS,NS,NS
10,NS,NS,NS,NS,NS,NS,NS,NS
11,NS,NS,NS,NS,NS,NS,NS,NS
12,NS,NS,NS,NS,NS,NS,NS,NS
13,NS,NS,NS,NS,NS,NS,NS,NS
14,LL,NS,NS,NS,NS,NS,NS,LL
15,NS,NS,LL,LL,LL,NS,LL,HH
16,NS,NS,HH,HH,HH,NS,HH,NS
17,NS,NS,NS,HH,NS,LL,NS,NS
18,NS,NS,NS,NS,NS,HH,NS,NS
19,NS,NS,NS,NS,HH,NS,NS,NS
20,NS,NS,LH,NS,HH,NS,LH,NS
21,LL,NS,NS,NS,NS,HH,NS,LL
22,LH,LL,NS,NS,NS,HH,NS,NS
23,NS,LH,LL,LL,LL,NS,LL,HH
24,NS,NS,LH,LH,LH,NS,LH,NS
25,NS,NS,NS,NS,NS,NS,NS,NS
26,NS,NS,NS,NS,NS,NS,NS,NS
27,LL,NS,NS,NS,NS,HL,NS,NS
28,NS,NS,NS,NS,NS,HH,NS,LL
29,NS,NS,LL,NS,LL,NS,NS,NS
30,NS,NS,LH,LL,NS,NS,NS,NS
31,NS,NS,NS,LH,NS,NS,NS,NS
32,NS,NS,NS,NS,NS,NS,NS,NS
33,LL,NS,NS,NS,NS,LL,NS,NS
34,NS,NS,NS,NS,NS,NS,NS,LL
35,NS,LH,LH,NS,NS,NS,NS,NS
36,HH,LL,NS,NS,NS,NS,LL,NS
37,LL,NS,LL,LL,LH,NS,LL,HL
38,LH,NS,LL,LL,NS,NS,LL,NS
39,NS,NS,HL,LL,LL,NS,NS,LL
40,HH,NS,NS,NS,LL,NS,NS,LH
41,NS,NS,NS,NS,NS,NS,NS,NS
42,NS,LH,LH,LH,NS,LL,NS,HH
43,NS,HH,NS,NS,NS,LL,HH,NS
44,NS,HH,NS,NS,NS,LL,HH,NS
45,NS,HH,HH,HH,NS,NS,NS,NS
46,NS,HH,HH,HH,NS,NS,HH,NS
47,LH,NS,NS,HH,HH,NS,NS,NS
48,NS,NS,HH,NS,NS,NS,NS,NS
49,HL,NS,NS,HH,NS,NS,NS,NS
50,LH,NS,NS,NS,NS,HH,NS,NS
51,NS,NS,NS,NS,NS,NS,NS,NS
52,LH,NS,NS,NS,NS,HH,NS,HH
53,NS,NS,NS,NS,NS,NS,NS,NS
54,LH,NS,HH,NS,NS,NS,NS,NS
55,LL,NS,NS,NS,NS,NS,NS,LH
56,LL,HL,NS,HH,NS,NS,LH,NS
57,LH,LH,LH,NS,HH,NS,HH,LH
58,NS,NS,HH,NS,NS,NS,LH,NS
59,NS,LH,LH,LH,NS,NS,NS,LL
60,NS,NS,NS,HH,NS,NS,LL,LL
61,NS,NS,NS,LH,HH,NS,LL,LH
62,NS,LL,LL,NS,LH,NS,LH,NS
63,LL,LL,LL,NS,NS,LH,NS,NS
64,NS,LH,LH,LL,NS,HH,NS,NS
65,NS,NS,NS,LL,LL,LH,NS,NS
66,LL,NS,NS,NS,LL,NS,NS,NS
67,NS,NS,NS,NS,LH,LL,LH,LL
68,NS,NS,NS,NS,LL,NS,LL,NS
69,HH,NS,LH,NS,LL,NS,NS,LH
70,NS,LH,LL,NS,NS,LH,LH,NS
71,HH,LL,NS,LH,NS,LL,NS,NS
72,NS,NS,LH,LL,LH,NS,NS,NS
73,NS,NS,LH,NS,LL,LL,LL,NS
74,LL,LH,NS,LH,NS,NS,HH,NS
75,LL,NS,NS,LH,LH,NS,NS,HH
76,LL,NS,NS,NS,LH,LH,HH,NS
77,NS,NS,NS,NS,NS,LL,LH,NS
78,LL,NS,HH,NS,NS,NS,NS,LL
79,NS,HH,LH,NS,NS,NS,NS,LL
80,NS,HH,NS,HH,NS,LH,LL,NS
81,NS,NS,NS,HH,HH,LH,NS,NS
82,NS,NS,LL,NS,NS,NS,NS,LL
