,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
0,HH,NS,NS,NS,NS,NS,NS,NS
1,NS,NS,NS,NS,NS,NS,NS,HH
2,NS,NS,NS,NS,NS,NS,NS,NS
3,NS,NS,NS,NS,NS,NS,NS,LH
4,NS,NS,NS,NS,NS,NS,NS,NS
5,NS,NS,NS,NS,NS,NS,NS,NS
6,NS,NS,NS,NS,NS,NS,NS,NS
7,NS,NS,NS,NS,NS,NS,NS,NS
8,NS,NS,NS,NS,NS,NS,NS,NS
9,NS,NS,NS,NS,NS,NS,NS,NS
10,HL,NS,HL,NS,NS,NS,NS,HL
11,NS,NS,NS,LL,NS,NS,NS,NS
12,NS,NS,NS,NS,NS,LL,NS,NS
13,NS,NS,NS,NS,NS,NS,NS,NS
14,NS,NS,NS,NS,NS,NS,NS,NS
15,NS,NS,NS,NS,NS,NS,NS,NS
16,NS,NS,LL,NS,NS,NS,NS,NS
17,NS,NS,NS,NS,NS,NS,NS,NS
18,NS,NS,NS,NS,NS,NS,NS,NS
19,NS,NS,NS,LH,NS,NS,NS,NS
20,NS,NS,NS,NS,NS,NS,NS,NS
21,NS,NS,NS,NS,NS,NS,NS,NS
22,NS,NS,NS,NS,NS,NS,NS,NS
23,NS,NS,NS,NS,NS,NS,NS,NS
24,LL,HL,NS,LL,LL,NS,HL,NS
25,NS,NS,NS,NS,NS,NS,NS,NS
26,NS,NS,NS,NS,NS,NS,NS,NS
27,HH,NS,NS,LH,NS,NS,NS,NS
28,HH,NS,NS,NS,NS,NS,NS,NS
29,NS,NS,LH,NS,NS,NS,NS,NS
30,NS,NS,NS,NS,NS,NS,LH,NS
31,NS,LH,NS,NS,NS,LH,NS,NS
32,NS,LL,NS,NS,NS,NS,NS,LL
33,HL,NS,NS,NS,NS,NS,NS,NS
34,NS,NS,NS,NS,NS,NS,NS,LL
35,NS,NS,NS,NS,NS,HL,NS,NS
36,NS,NS,NS,NS,NS,NS,NS,NS
37,NS,NS,NS,NS,NS,NS,NS,NS
38,NS,NS,NS,NS,NS,NS,NS,NS
39,NS,LL,LL,LL,NS,NS,HL,NS
40,NS,NS,NS,NS,NS,NS,NS,NS
41,NS,NS,NS,NS,NS,HH,NS,NS
42,NS,NS,NS,NS,NS,NS,NS,NS
43,NS,NS,NS,NS,NS,NS,NS,NS
44,NS,NS,NS,NS,NS,NS,NS,NS
45,HH,NS,NS,NS,NS,NS,NS,NS
46,NS,NS,NS,NS,NS,NS,NS,NS
47,NS,NS,NS,NS,NS,NS,HH,NS
48,NS,NS,LL,NS,NS,NS,NS,LL
49,NS,NS,LL,NS,NS,NS,NS,NS
50,NS,NS,NS,NS,NS,NS,NS,NS
51,NS,NS,NS,HH,NS,NS,NS,NS
52,NS,NS,NS,NS,NS,NS,NS,NS
53,NS,NS,NS,NS,NS,NS,HL,HL
54,NS,NS,NS,NS,NS,NS,NS,NS
55,NS,NS,NS,NS,NS,NS,NS,NS
56,NS,NS,NS,NS,NS,NS,NS,NS
57,NS,NS,LL,NS,LL,LL,NS,NS
58,NS,NS,NS,NS,LL,NS,NS,NS
59,NS,NS,NS,NS,NS,NS,NS,NS
60,NS,LH,NS,NS,NS,NS,NS,NS
61,NS,NS,NS,NS,NS,NS,NS,NS
62,HL,LL,NS,NS,NS,NS,NS,NS
63,NS,NS,NS,NS,HH,NS,NS,HH
64,NS,NS,NS,NS,NS,NS,NS,NS
65,NS,NS,NS,NS,NS,NS,NS,NS
66,NS,NS,HH,NS,HH,NS,NS,NS
67,NS,NS,NS,NS,NS,NS,NS,NS
68,NS,NS,NS,NS,NS,LH,HH,NS
69,NS,NS,NS,NS,NS,NS,NS,NS
70,NS,NS,NS,NS,NS,NS,LH,NS
71,NS,NS,NS,LH,NS,NS,NS,NS
72,NS,NS,NS,NS,NS,NS,NS,NS
73,NS,NS,NS,NS,HH,LH,NS,HH
74,NS,NS,NS,NS,NS,NS,NS,NS
75,NS,NS,NS,NS,NS,NS,NS,NS
76,HL,LL,LL,NS,NS,NS,NS,NS
77,NS,NS,NS,LL,NS,NS,NS,NS
78,NS,NS,NS,NS,LH,NS,NS,NS
79,NS,NS,NS,LH,NS,NS,NS,NS
80,NS,NS,NS,NS,NS,NS,NS,NS
81,NS,NS,NS,NS,NS,NS,NS,NS
82,NS,NS,NS,NS,NS,NS,NS,NS
83,NS,NS,NS,NS,NS,NS,NS,NS
84,NS,NS,NS,NS,LH,NS,NS,NS
85,NS,NS,NS,NS,NS,NS,NS,NS
86,NS,NS,NS,LH,NS,NS,NS,NS
87,NS,NS,NS,NS,NS,NS,NS,NS
88,NS,NS,NS,NS,NS,NS,LL,LL
89,NS,NS,NS,NS,NS,NS,NS,NS
90,NS,NS,NS,NS,NS,NS,NS,NS
91,NS,NS,NS,NS,NS,NS,NS,NS
92,NS,NS,NS,NS,LH,NS,NS,NS
93,NS,LH,NS,NS,NS,NS,NS,NS
94,NS,NS,NS,NS,NS,NS,NS,NS
95,NS,LH,NS,NS,NS,NS,NS,NS
