city,city_name,period,n_segments,HH,LL,HL,LH,NS,sig_total,sig_pct
jkt,Jakarta,night,14549,345,335,285,356,13228,1321,9.079661832428346
jkt,Jakarta,morning_peak,14549,312,357,346,331,13203,1346,9.2514949481064
jkt,Jakarta,morning_offpeak,14549,341,370,367,352,13119,1430,9.82885421678466
jkt,Jakarta,lunch_hours,14549,344,362,303,376,13164,1385,9.519554608564162
jkt,Jakarta,afternoon_offpeak,14549,384,346,332,385,13102,1447,9.945700735445735
jkt,Jakarta,evening_peak,14549,395,410,386,378,12980,1569,10.784246339954635
jkt,Jakarta,evening_offpeak,14549,365,330,326,396,13132,1417,9.73950099663207
jkt,Jakarta,late_night,14549,364,364,382,346,13093,1456,10.007560657089835
bdg,Bandung,night,3069,59,92,68,71,2779,290,9.44933202997719
bdg,Bandung,morning_peak,3069,70,96,92,75,2736,333,10.850439882697946
bdg,Bandung,morning_offpeak,3069,87,97,74,78,2733,336,10.948191593352883
bdg,Bandung,lunch_hours,3069,76,87,73,91,2742,327,10.654936461388074
bdg,Bandung,afternoon_offpeak,3069,87,65,57,91,2769,300,9.775171065493646
bdg,Bandung,evening_peak,3069,71,85,76,76,2761,308,10.03584229390681
bdg,Bandung,evening_offpeak,3069,60,63,76,67,2803,266,8.6673183447377
bdg,Bandung,late_night,3069,80,108,77,89,2715,354,11.534701857282501
smg,Semarang,night,1076,21,32,29,24,970,106,9.851301115241636
smg,Semarang,morning_peak,1076,23,32,30,32,959,117,10.87360594795539
smg,Semarang,morning_offpeak,1076,17,22,29,17,991,85,7.899628252788105
smg,Semarang,lunch_hours,1076,13,18,27,17,1001,75,6.970260223048327
smg,Semarang,afternoon_offpeak,1076,26,22,25,31,972,104,9.66542750929368
smg,Semarang,evening_peak,1076,17,28,27,13,991,85,7.899628252788105
smg,Semarang,evening_offpeak,1076,11,29,30,16,990,86,7.992565055762081
smg,Semarang,late_night,1076,14,16,21,20,1005,71,6.598513011152416
