,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
0,NS,NS,NS,NS,NS,NS,NS,NS
1,NS,NS,LL,NS,NS,NS,NS,NS
2,NS,NS,NS,NS,NS,NS,LL,NS
3,NS,NS,NS,NS,NS,NS,NS,NS
4,NS,NS,NS,NS,NS,NS,NS,NS
5,NS,NS,NS,NS,NS,NS,NS,NS
6,NS,NS,NS,NS,NS,NS,NS,NS
7,NS,NS,NS,NS,NS,NS,NS,NS
8,NS,NS,NS,NS,LH,HH,NS,NS
9,NS,NS,NS,LL,NS,NS,NS,NS
10,NS,NS,NS,NS,NS,NS,NS,NS
11,NS,NS,NS,NS,NS,NS,NS,NS
12,NS,NS,NS,NS,NS,NS,NS,NS
13,NS,NS,NS,NS,NS,NS,NS,NS
14,NS,NS,NS,NS,NS,NS,NS,NS
15,NS,NS,NS,NS,NS,NS,NS,NS
16,NS,NS,NS,NS,NS,NS,NS,NS
17,NS,NS,NS,NS,NS,NS,NS,LH
18,NS,NS,NS,NS,NS,HL,HL,NS
19,NS,NS,NS,NS,NS,NS,NS,NS
20,NS,NS,NS,NS,NS,NS,NS,NS
21,NS,NS,NS,NS,NS,NS,NS,NS
22,NS,NS,NS,NS,NS,NS,NS,NS
23,NS,NS,NS,NS,NS,NS,NS,NS
24,NS,NS,NS,NS,NS,NS,NS,NS
25,NS,NS,NS,NS,NS,NS,NS,NS
26,NS,NS,NS,NS,NS,NS,NS,NS
27,NS,NS,NS,NS,NS,NS,NS,NS
28,HL,HL,NS,NS,NS,NS,NS,NS
29,NS,NS,NS,NS,NS,NS,NS,LL
30,NS,NS,NS,NS,NS,NS,NS,NS
31,HL,NS,NS,NS,NS,NS,NS,NS
32,NS,NS,NS,NS,NS,NS,NS,NS
33,NS,NS,NS,NS,NS,NS,NS,NS
34,NS,NS,NS,NS,NS,NS,NS,NS
35,NS,NS,NS,NS,NS,NS,NS,NS
36,NS,NS,NS,NS,LH,NS,NS,NS
37,NS,NS,NS,NS,NS,NS,NS,NS
38,NS,NS,NS,NS,NS,NS,NS,NS
39,NS,NS,NS,NS,NS,NS,NS,NS
40,NS,NS,NS,NS,NS,NS,HL,NS
41,NS,NS,NS,NS,NS,NS,NS,NS
42,NS,NS,NS,NS,NS,NS,NS,NS
43,NS,NS,NS,NS,NS,NS,NS,NS
44,NS,NS,HH,NS,NS,HH,NS,HH
45,NS,NS,NS,NS,NS,NS,NS,NS
46,NS,NS,NS,NS,NS,NS,NS,NS
47,NS,NS,NS,NS,NS,NS,NS,NS
48,NS,NS,NS,NS,NS,NS,NS,NS
49,LL,LL,NS,LL,LL,NS,NS,NS
50,NS,NS,NS,NS,NS,NS,NS,NS
51,NS,NS,NS,NS,LH,NS,NS,NS
52,NS,NS,NS,NS,NS,NS,NS,NS
53,NS,NS,NS,NS,NS,NS,NS,NS
54,NS,NS,NS,NS,NS,NS,NS,NS
55,NS,NS,NS,NS,NS,NS,NS,NS
56,LL,NS,NS,NS,NS,NS,NS,NS
57,NS,NS,NS,HL,NS,NS,NS,NS
58,LL,NS,NS,NS,NS,NS,NS,NS
59,NS,NS,NS,NS,NS,NS,NS,NS
60,NS,NS,NS,LL,NS,NS,NS,NS
61,NS,NS,NS,NS,NS,NS,NS,NS
62,NS,NS,NS,NS,NS,NS,NS,NS
63,NS,NS,NS,NS,NS,NS,NS,NS
64,NS,NS,NS,NS,NS,NS,NS,NS
65,NS,NS,NS,NS,NS,NS,NS,NS
66,NS,NS,NS,NS,NS,NS,NS,NS
67,LH,NS,NS,NS,LH,NS,NS,NS
68,NS,NS,NS,NS,NS,NS,NS,NS
69,NS,NS,NS,NS,NS,NS,NS,NS
70,NS,NS,NS,NS,NS,NS,NS,NS
71,NS,NS,NS,NS,NS,NS,NS,NS
72,NS,NS,NS,NS,NS,NS,NS,NS
73,NS,NS,LL,LL,NS,NS,LL,NS
74,NS,NS,NS,NS,NS,NS,NS,NS
75,NS,NS,NS,NS,NS,NS,NS,NS
76,NS,NS,NS,NS,NS,NS,NS,NS
77,NS,NS,HH,HH,NS,NS,NS,NS
78,LH,NS,LH,HH,NS,NS,LH,LH
79,NS,NS,NS,NS,NS,NS,NS,NS
80,NS,NS,NS,NS,NS,NS,NS,NS
81,NS,NS,NS,NS,LH,NS,NS,NS
82,NS,LH,NS,LH,LH,NS,NS,LH
83,NS,NS,NS,NS,NS,NS,NS,NS
84,NS,NS,NS,NS,NS,NS,NS,NS
85,NS,NS,NS,NS,NS,NS,NS,HL
86,NS,NS,NS,NS,NS,NS,LL,NS
87,NS,LH,NS,NS,NS,NS,NS,NS
88,NS,NS,NS,NS,NS,NS,NS,NS
89,NS,NS,NS,NS,NS,NS,NS,NS
90,NS,NS,NS,NS,NS,NS,LH,NS
91,NS,LH,NS,NS,NS,NS,NS,NS
92,NS,NS,NS,NS,NS,NS,NS,NS
93,NS,HH,NS,NS,NS,HH,NS,NS
94,NS,NS,NS,NS,NS,NS,NS,NS
95,HH,HH,NS,NS,NS,NS,NS,NS
96,HH,HH,HH,NS,NS,NS,NS,HH
97,NS,LH,NS,NS,NS,NS,NS,NS
98,NS,NS,NS,NS,NS,NS,NS,NS
99,NS,NS,NS,NS,NS,NS,NS,NS
100,HL,NS,NS,NS,LL,HL,NS,NS
101,NS,LL,NS,NS,LL,LL,NS,LL
102,LL,LL,NS,NS,NS,LL,LL,NS
103,NS,NS,NS,NS,NS,NS,NS,NS
104,NS,NS,NS,NS,NS,NS,NS,LL
105,LL,NS,NS,NS,NS,NS,NS,NS
106,NS,NS,NS,NS,NS,NS,NS,NS
107,NS,NS,NS,NS,NS,NS,NS,NS
108,NS,NS,NS,NS,NS,NS,NS,NS
109,NS,NS,NS,NS,NS,LH,NS,NS
110,NS,NS,NS,NS,LL,NS,NS,NS
111,NS,NS,NS,NS,NS,NS,NS,NS
112,NS,NS,NS,NS,NS,NS,NS,NS
113,NS,NS,HL,NS,NS,NS,LL,NS
114,NS,NS,NS,NS,NS,NS,NS,HH
115,NS,NS,HL,NS,NS,NS,NS,NS
116,NS,NS,NS,NS,NS,NS,NS,NS
117,NS,NS,NS,NS,LL,NS,NS,NS
118,NS,NS,NS,NS,LL,NS,LL,NS
119,LL,HL,HL,NS,NS,NS,LL,NS
120,NS,NS,HL,NS,NS,NS,NS,NS
121,NS,NS,NS,NS,NS,NS,NS,NS
122,NS,LL,NS,NS,NS,NS,NS,NS
123,HL,HL,HL,NS,NS,NS,NS,NS
124,LH,NS,NS,NS,LH,NS,LH,HH
125,NS,NS,NS,NS,NS,NS,NS,NS
126,NS,NS,NS,NS,NS,NS,NS,NS
