here_geometry_hash,osm_composite_id,match_method,distance_m
c35b656877362403f4173bbefd7aa030,1103913442_3123531833_1361222850_0,intersection,0.0
3a4eadac18c3a97b13344e6c60b07c6e,970824863_5504908492_3123681505_0,intersection,0.0
71095c08ad9fe601b40df968e0bba9c6,970824863_5504908492_3123681505_0,intersection,0.0
a5282fa767c50f539cafd61eadf702ad,438553978_4841539045_3137859277_0,intersection,0.0
cc2fe3c2d26ff99fda2c9fa8aeb034cd,307271505_3123617724_8548706357_0,intersection,0.0
eb1dee06c2f05b0b9e7648f0da96c10d,51425355_7419181147_3125128693_0,intersection,0.0
123624cb293b084e41f3ab1e0f5b9d80,"[687571193, 758174930]_3123681486_3123544043_0",intersection,0.0
4ac64b1b1a01981a685ed7bf83c3d74c,307386843_3125099212_5507223427_0,intersection,0.0
99a4a616a812518d9df9cdcee348c68f,"[697909180, 697909143]_494004903_316771067_0",intersection,0.0
7f12f220a87f94225106a9ebba4f7e8c,1347901725_4541235729_302298149_0,intersection,0.0
0fa7296c681a4a82392da4afd912b6a5,307386843_3125099212_5507223427_0,intersection,0.0
78921730434cdfdfcfeb094002a233f6,27535285_5512812461_5512812463_0,intersection,0.0
ac82cc9657bd63da22db4003bb88b99d,737473712_1345808415_8510376301_0,intersection,0.0
150cc36760ef7b39d7a076c19a0d0701,27535285_5512812461_5512812463_0,intersection,0.0
6dc2cc90191e17ec6dc91ac0c150b07b,744513854_302298149_5513428503_0,intersection,0.0
0b1bd53d04e08c79a1ea104370c17a0f,"[697909180, 697909143]_494004903_316771067_0",intersection,0.0
f540c3844d7762c5e34bfeb4aa74b4e7,686923283_12313457865_2021067083_0,intersection,0.0
400bd7b2177c3d3cac78e9a4a5f6bc22,"[198734907, 198734908, 174246533]_1848661831_1848661931_0",intersection,0.0
c0823f349f604b5df5ef8f82396b731b,"[696517881, 686991390]_1849292159_2504570164_0",intersection,0.0
8fbcc9dfe2b6847888a56680fca60720,675333268_2501607556_5474948867_0,intersection,0.0
baaa821789388c0e18d0b6a31818abd4,675333268_2501607556_5474948867_0,intersection,0.0
42ed751d7a8e4bac180a071e95fbeaea,675333268_2501607556_5474948867_0,intersection,0.0
88c0b960755097316f444fc25b42389b,"[696517881, 686991390]_1849292159_2504570164_0",intersection,0.0
20b6bf34e2722f98a01315b9f90dc8a0,319328904_8389001168_7168381673_0,intersection,0.0
c54e205588333336a1753270a5a873e0,"[567648601, 973521989]_8995271685_1849291983_0",intersection,0.0
663a4a5363142188027506b79b9d2f03,"[198734907, 198734908, 174246533]_1848661831_1848661931_0",intersection,0.0
ba263a2e493875240ed6e1cf50cccabe,567648449_1848661756_5463534393_0,intersection,0.0
c8f7b0e6958a3b9c83d82b09da0f9765,567648449_1848661756_5463534393_0,intersection,0.0
