here_geometry_hash,osm_composite_id,match_method,distance_m
373e1071dc4ef5cc332dbbd6cc37cdd6,909475492_6062745005_6062744995_0,intersection,0.0
65418f10c35ae041219c7dc703e9d0d5,"[644734776, 715290978, 644734775]_7548188817_6062745058_0",intersection,0.0
b22042cdc2ed59ed047764472f855d0f,360092129_6135031764_6135175473_0,intersection,0.0
fa19a5264ac00e48e24db6227a012fa6,360092129_6135031764_6135175473_0,intersection,0.0
cd9918411c657c8e1a84f9f04696d2f4,"[645058845, 645057623]_6064714871_6064722830_0",intersection,0.0
e5d3d22b6ef5e32b4768d58e5c28791e,360092129_6064722493_6135031765_0,intersection,0.0
7d21edcca54edb18869c2d810e379576,690149174_6474799251_6474799248_0,intersection,0.0
0296548f230a94ada4142f3fdb48c70d,645058696_6135025922_3646925523_0,intersection,0.0
43d53ee48187b96717f195ca2099a4fa,"[790383072, 790383073, 360092129]_6709496136_3646925523_0",intersection,0.0
82c81662e1520576b12483c0fa3824cb,"[790383072, 790383073, 360092129]_6709496136_3646925523_0",intersection,0.0
5d11d14eacd1f0ac66550f858bed2d2f,"[790383072, 790383073, 360092129]_6709496136_3646925523_0",intersection,0.0
dc271bf8c8f7f46f6bf69e1ceadd92f8,"[790383072, 790383073, 360092129]_6709496136_3646925523_0",intersection,0.0
66660b6de4d4db833d752d15d3894604,645058696_6135025922_3646925523_0,intersection,0.0
77378c701e59a9fcb1a15f29de5e8c8f,690149174_6474799251_6474799248_0,intersection,0.0
38cbb19cbe67b733577eaa02c7e0e562,360092129_6064722493_6135031765_0,intersection,0.0
56a3c7e9538060d45d4ea0dfacb4ef05,"[645058845, 645057623]_6064714871_6064722830_0",intersection,0.0
84d1bf710b6d27debce6e57df3d1e3f4,360092129_6135031764_6135175473_0,intersection,0.0
b2429b5a1221ea394e9e43aa319644b5,360092129_6135031764_6135175473_0,intersection,0.0
8791f166f60ada0e3dfcbe990bdf71b7,"[644734776, 715290978, 644734775]_7548188817_6062745058_0",intersection,0.0
9dab23a6182d732c65c423a47117ffc5,909475492_6062745005_6062744995_0,intersection,0.0
fcc2cb226ecf7eda151340382198cfd1,579108459_5547006251_5547006252_0,intersection,0.0
dd62a449924d52801848c7f517e6dab0,497484487_2479836914_4890136249_0,intersection,0.0
1135cb838ae99f8b730c9b9430192ef6,570182273_5482037653_5482037679_0,intersection,0.0
c00dc8fcdb6af3315b2c1bb15b1cc92d,570182277_5482037681_5482037682_0,intersection,0.0
1758dca085af18de5917d54479cfbefe,240239924_4912289053_13121094584_0,intersection,0.0
a2571494a0f4beed296f3e04ef318aa5,240239924_5532660915_4912289053_0,intersection,0.0
2153026555a285dcc9cbe792cde9c1a6,500077351_5465990671_4912266783_0,intersection,0.0
7906bbf250472cd4b337ca905e049b3c,581070205_5532660937_5466191743_0,intersection,0.0
f6e7be071765332e00d28bf99eb53146,576984385_4912266773_13087055104_0,intersection,0.0
788848a821dc5962e300ee0bd86077a1,623978220_5892058726_2479836887_0,intersection,0.0
20e4b79b0dd651ee7946608cff560d5f,576984387_5465991676_5465991672_0,intersection,0.0
df3c8e386841e8353771d08cf2b630d1,240239924_2479836883_5465991676_0,intersection,0.0
6854a2249fbe574644652dba56c1670f,240239924_2479836883_5532660954_0,intersection,0.0
f06c4b6d42eb86876579289a0f8156a8,576984394_7307629851_4912272535_0,intersection,0.0
f4c8ed72ea700421bf2a6052232d5a44,"[500077369, 500077370, 240239924]_7307629851_7307629850_0",intersection,0.0
df1a786debe2e5df5df983e2bc8e4115,500077370_7307629850_259677755_0,intersection,0.0
5817121a7a2f251e80aa747fa3191f3c,1050258806_12917681454_9651611636_0,intersection,0.0
fc6c72206955fd322f0653704430e354,410708450_8912769062_4124937413_0,intersection,0.0
f3d280e3ca6e4bd2f8e1e2af3ed7d645,589169545_5626185560_5626185577_0,intersection,0.0
e536861263d538b0232d0dd5fa17f978,589169543_5626185560_9651462008_0,intersection,0.0
78701aaa6abf7dd2df26930990e83cea,1050248017_12917709078_9651462008_0,intersection,0.0
c9cab38f68e482c7eb257470f7d5a0fb,410708668_4124938009_3937479350_0,intersection,0.0
1bb95551f918a44be99e7963e548f799,390582327_5626185567_5626185558_0,intersection,0.0
a3151f761d92c53cda17cc266ffc6ff5,"[561435459, 561435460, 390582327, 800670010, 800670011]_3937480280_4124938022_0",intersection,0.0
f5fcf578c25375cfe969da7aacbac645,"[561435459, 561435460, 390582327, 800670010, 800670011]_3937480280_4124938022_0",intersection,0.0
35c06928cea9c255e55a14535a101f15,"[561435459, 561435460, 390582327, 800670010, 800670011]_3937480280_4124938022_0",intersection,0.0
ba0edd048564c4d03a473b89fe69faeb,"[561435459, 561435460, 390582327, 800670010, 800670011]_3937480280_4124938022_0",intersection,0.0
b8e5c27de099500587b66a8766efdb63,561435459_3937480280_3937480286_0,intersection,0.0
ecdf2470cb9233eef655089ed1800d5e,561435459_3937480280_3937480286_0,intersection,0.0
f704ff5728429ac348d6ba7f6b11a737,569499559_8583245165_3937480286_0,intersection,0.0
69c67fc17fa04ef306221fcc0f33fd5b,561435459_5889586471_3937480286_0,intersection,0.0
9664803eaf5bd9459223c592851a7c70,579486750_5889586471_5891946393_0,intersection,0.0
b3bd7949af262c0451d9077f0cdf6e72,587453259_5634493236_1634599782_0,intersection,0.0
720b43aef77556113945a8eac8238a16,561435459_5889586471_3937480286_0,intersection,0.0
91a891424d85968b58548e28071d451a,569499559_8583245165_3937480286_0,intersection,0.0
29b3ad61598d6c410aa8d9cadac91e06,561435459_3937480280_3937480286_0,intersection,0.0
2323574d89ff8406659ee330daba85bc,561435459_3937480280_3937480286_0,intersection,0.0
6dfe9408d349f9c3ab41552edcdab47d,"[561435459, 561435460, 390582327, 800670010, 800670011]_3937480280_4124938022_0",intersection,0.0
5b0d51500e8857d9a06fa948ea405641,"[561435459, 561435460, 390582327, 800670010, 800670011]_3937480280_4124938022_0",intersection,0.0
38f09d1a14206975084d4ef127602455,"[561435459, 561435460, 390582327, 800670010, 800670011]_3937480280_4124938022_0",intersection,0.0
b3296a0271d1bddd2fec75f0c53f7534,"[561435459, 561435460, 390582327, 800670010, 800670011]_3937480280_4124938022_0",intersection,0.0
595396f40c0f8f11bf83f9e19ce56a35,390582327_5626185567_5626185558_0,intersection,0.0
05a03d1498c7ce1ae104321ed664d621,410708668_4124938009_3937479350_0,intersection,0.0
9fc010ce4fef599582122eb3ce6e4f12,1050248017_12917709078_9651462008_0,intersection,0.0
eb16ab98a09401e3c65ac1a369a05cce,589169543_5626185560_9651462008_0,intersection,0.0
45c2e4f07a7aff461b84197ec980afcf,589169545_5626185560_5626185577_0,intersection,0.0
da5cfa29c3760774b9d21245b82b0fa3,410708450_8912769062_4124937413_0,intersection,0.0
d1f9bef1ec2b495cbf6dd667f6743764,1050258806_12917681454_9651611636_0,intersection,0.0
4c940e282ef2af19812e14ef5ca578eb,587453259_5634493236_1634599782_0,intersection,0.0
1484d27c14044afaef3c9f4dd24090af,579486750_5889586471_5891946393_0,intersection,0.0
21e87f10907d288f3c8dbe463dac5b12,489722741_5433661646_5591677883_0,intersection,0.0
82f8f0509cd1a927c9b44d8be489a720,839213937_7831272838_5433661646_0,intersection,0.0
f32deb413addeea421be5173b7ea55d8,590632854_7497392290_5638793906_0,intersection,0.0
033e43cf806acc59c78222cf038125f8,590632910_5638794253_5604466791_0,intersection,0.0
d3eaf560f857300381e4d38a7f8b4e9f,590632914_5638793935_5638794258_0,intersection,0.0
1057527c9b43c1d80d6a1bcc4a43006e,590632913_5638793936_5638794257_0,intersection,0.0
4382b6408721a1d53636d0825d4de053,489722741_5638793938_5638793937_0,intersection,0.0
d58460790dde9930314a817d60a161da,489722741_5638794260_5558569419_0,intersection,0.0
1a2ef728702435b7351f22653bbec668,"[559975678, 712075671]_9645570731_6695298132_0",intersection,0.0
45d18333f8a2afe7631f2b36a2875d60,623967716_5891945579_5891945578_0,intersection,0.0
91961e99994edfd550bc68e7d3342a0f,804234192_7497219751_7522412652_0,intersection,0.0
2aa7fddd33b3bbbb48a9fc934a80445b,590383538_7497219751_4819397281_0,intersection,0.0
e790d97c26663f8f9f49e3ce78b3151f,590383541_5636833992_5636833993_0,intersection,0.0
022a117b1b5d5ecaa5401dc798bfd3a7,590383549_4819397280_5636833995_0,intersection,0.0
8c9903435ab9670e7fdb1c3263b9325b,580754081_5558569880_5636834003_0,intersection,0.0
3325f0d056222c8412cc18f706d0205c,590383567_5636834323_4822321389_0,intersection,0.0
a704df7bff28310ab04b604e86dcfd22,808365140_7558912146_4822321391_0,intersection,0.0
59387d5a4af47e7e8df3bf141f2e2756,"[590383596, 590383597]_5636834344_5636834340_0",intersection,0.0
d75290dab3e60db930a8fb5022349277,489722741_5572596803_5636834344_0,intersection,0.0
1e7119ca99f652ea6fe3a6e538bb233e,489722741_5572596799_5572596803_0,intersection,0.0
3d15e7049c2f19cfeef7af87af288610,"[590383601, 582763076]_5572596799_7558912169_0",intersection,0.0
f8afa7eacef1ae0a41270fcd7748aa2f,623707821_5889752916_5889752917_0,intersection,0.0
f8eca95ed7fbda826cbb4f5327ed3f8f,582763074_8912718123_5572596796_0,intersection,0.0
02e340bc780aafe7b25503840ce0259e,623707820_5889752910_5889752915_0,intersection,0.0
88e1d8a77dfadfc96c1b49d558844cfb,"[590383612, 590383613]_4822321400_5572534805_0",intersection,0.0
b615d3218ef6e67833c88985fdcb824b,582740854_5572534805_4822321401_0,intersection,0.0
c73259041c9287ce37c4c15a5dd1dd3c,582752314_5572534796_5572534792_0,intersection,0.0
c581957757b6be407d50a810cacef4e3,489722741_5433661646_5591677883_0,intersection,0.0
2b19a7e36761901b3a6ac9c661571ada,582752314_5572534796_5572534792_0,intersection,0.0
80a928a37f84fe0209baa2e58c3d6811,582740854_5572534805_4822321401_0,intersection,0.0
215fcda51f4ed056509caddf8ec1a5ac,"[590383612, 590383613]_4822321400_5572534805_0",intersection,0.0
4202aab6db257f829613c925debbcecd,623707820_5889752910_5889752915_0,intersection,0.0
2761f0f332e20f606ceea77a3ac0ca70,582763074_8912718123_5572596796_0,intersection,0.0
7f3c4abe899a04bb54691569bb5c2a94,623707821_5889752916_5889752917_0,intersection,0.0
f870802e0f8abad92fd46f246ce4a63c,"[590383601, 582763076]_5572596799_7558912169_0",intersection,0.0
c0b58781d9dac743fa55ccc4e16ad26f,489722741_5572596799_5572596803_0,intersection,0.0
bf1a7af700df16d397d2e917cefd61b5,489722741_5572596803_5636834344_0,intersection,0.0
cbce6bc1e07f26d9760e2480250b42ae,"[590383596, 590383597]_5636834344_5636834340_0",intersection,0.0
b36272875ab9b3edcdd2931736984f4a,808365140_7558912146_4822321391_0,intersection,0.0
cd38ba385dc906a93ace7013ca0514ff,590383567_5636834323_4822321389_0,intersection,0.0
c74425060c07a71a3083b6c99c2fb1a4,580754081_5558569880_5636834003_0,intersection,0.0
3cd4d266ce7415bf267ed239594d3e54,590383549_4819397280_5636833995_0,intersection,0.0
5140ae7418fad7f8bf2f7a2f6e9579c8,590383541_5636833992_5636833993_0,intersection,0.0
d1836caccf23bfd8afb3d02be757bc79,590383538_7497219751_4819397281_0,intersection,0.0
9709014c1c0c014b8d86753b83baea58,804234192_7497219751_7522412652_0,intersection,0.0
3ec38a156471b9851a36dce01349b0e5,623967716_5891945579_5891945578_0,intersection,0.0
164be974d5b9555adc03f88a979f4468,"[559975678, 712075671]_9645570731_6695298132_0",intersection,0.0
4bdc337f01073d800ea7de06195bd57a,489722741_5638794260_5558569419_0,intersection,0.0
1cc39ee2a376d24ec0a3a80ed180a7ef,489722741_5638793938_5638793937_0,intersection,0.0
de7b7c8e37f0d12705f70aac4b4a3336,590632913_5638793936_5638794257_0,intersection,0.0
185f7c7034c55bd046e1b65e57136d20,590632914_5638793935_5638794258_0,intersection,0.0
b1b3cefecd99888dce0d5ac207581e5d,590632910_5638794253_5604466791_0,intersection,0.0
dabf7bddfe4aa64fe042cd8965c673d8,590632854_7497392290_5638793906_0,intersection,0.0
e6b88af0a33b6ac946c7c2c3ced4f4eb,839213937_7831272838_5433661646_0,intersection,0.0
eda268aeb0e7761c0e4940a2cebd81fb,489722741_5433661646_5591677883_0,intersection,0.0
b2f2b55192f1864133a39786be697056,489722741_5433661646_5591677883_0,intersection,0.0
a83e6b7ea98443fe19b14fc6b8c9295a,963535392_8912720845_8912720846_0,intersection,0.0
0f13e1d625632710a6dd0cdb6ae09346,590383615_5891894827_5636834419_0,intersection,0.0
49f7af5b1ae50a3b38638d647597abee,589164705_5572534784_4822321404_0,intersection,0.0
f8c15354d8a49b794f59dc8c39ddfe7f,589164706_4822321405_5626160297_0,intersection,0.0
a2cb5991847178fc5ec91afe59b78683,"[590632836, 623962590]_4822321725_4822321405_0",intersection,0.0
2e9cbb1f6ac708e0f866b3892ec85c26,"[590632836, 623962590]_4822321725_4822321405_0",intersection,0.0
bbd1b9729684f192985cde939cd3e480,589164706_4822321405_5626160297_0,intersection,0.0
d9d450d17de7bb89c4ede7a98e7f75a2,589164705_5572534784_4822321404_0,intersection,0.0
71362fe288bc13047499476204f4650e,590383615_5891894827_5636834419_0,intersection,0.0
0645d16a6571ecba771dc77390aaf8f1,963535392_8912720845_8912720846_0,intersection,0.0
52601ca1d168f5986d181f251e58437e,"[590632836, 623962590]_4822321725_4822321405_0",intersection,0.0
358470a9668161d9218db7d1ead97c2d,589164837_5626160423_5626160417_0,intersection,0.0
ef7d2a2cd76e732fa36095fde8410e68,589164807_5626160424_8581382117_0,intersection,0.0
92c85272ddf187c447bf57ad5daa40ab,924627123_8581382117_8581378416_0,intersection,0.0
7be80566bb80f1c5e8a05c921271db05,589164818_5611287482_5626160402_0,intersection,0.0
6b311c7e21c74f1a1db1fdba333d9f4f,589164823_5626160402_5626160404_0,intersection,0.0
fb35577c5173676fa47ff0876f52b829,580693018_5558221399_5611287480_0,intersection,0.0
37842765a9a45a95a63f68f07a2106e6,580693018_5558221399_5611287480_0,intersection,0.0
170ac6439569fdde982b4c98a03606f0,"[589164850, 589164804]_5626160429_5558222283_0",intersection,0.0
814a6faf719a4fdf10718c1157414884,589164857_5626160434_5626160427_0,intersection,0.0
8e4bc3027d22be31b2d93f6df41d35c7,587444954_5611287736_5558222112_0,intersection,0.0
eb82aa3782a0c0570133ea952b971e4c,587444735_5626160438_5558222112_0,intersection,0.0
0aad4cbbd8a3c102540f8bca4074d3cc,924664351_8581653052_11902574426_0,intersection,0.0
c080768858fc30ab114c1763b639def6,587444735_5558222269_8581653052_0,intersection,0.0
f61edcf9969924ec2e5c8131627a2f9f,587444735_5558222269_8581653052_0,intersection,0.0
5307e495cd91e67d5bbe656d2a273197,587444892_5558222265_8581653051_0,intersection,0.0
32e5d561f3a248e133ba6e63a30c2638,587444934_5558222263_8581537141_0,intersection,0.0
74e013fa8f5aad1b60635f06f83d3fb2,580692936_5890213157_5558222263_0,intersection,0.0
5490d164b48715a1d52ac6b9434ebce1,587444749_12142192300_12142192304_0,intersection,0.0
9a8c46808a4bb5579c6d95e50b08ef05,1311785737_12142192300_12142192301_0,intersection,0.0
07a99b8718780de9b5977e5459b1db7b,1049559652_9647562108_9645314072_0,intersection,0.0
14fe250823e71f1643370122395ca962,1049559652_9647562108_9645314072_0,intersection,0.0
e1eb1713ec93bc105d4ca56c1065f372,1311785737_12142192300_12142192301_0,intersection,0.0
19c58f655d34ccb81bda397779f3a7ee,587444749_12142192300_12142192304_0,intersection,0.0
6fd09630d84c4557de890c1ddc9c36be,580692936_5890213157_5558222263_0,intersection,0.0
e67cf6bc89f10ad922f491146e340535,587444934_5558222263_8581537141_0,intersection,0.0
221ae58085ce7838d6523ece596213ec,587444892_5558222265_8581653051_0,intersection,0.0
0296e3fb282dbac1024e20cd4b28bd4b,587444735_5558222269_8581653052_0,intersection,0.0
5479fc0fb017ba487bd5c907b9371370,587444735_5558222269_8581653052_0,intersection,0.0
fcb9d82ac99008d1f049a55af44658c5,924664351_8581653052_11902574426_0,intersection,0.0
3efc2cd3918b57563e448da5acd887c9,587444735_5626160438_5558222112_0,intersection,0.0
e86ea1a79d7327f6b5ca4b4aa8c563d3,587444954_5611287736_5558222112_0,intersection,0.0
378ae9ace492b3e98c9120a8e98f595c,589164857_5626160434_5626160427_0,intersection,0.0
